lat,lon,alt,date,device,os,version
37.8010497,-122.4095341,0,2013-04-24 00:44:11,"Samsung d2att",4.2.2,1.0
37.7996144,-122.407469,0,2013-04-24 03:04:11,"Samsung d2att",4.2.2,1.0
37.7977902,-122.4065224,0,2013-04-24 04:04:11,"Samsung d2att",4.2.2,1.0
37.7976733,-122.4064125,0,2013-04-24 04:25:31,"Samsung d2att",4.2.2,1.0
37.7764292,-122.4082236,0,2013-04-24 15:45:19,"Samsung d2att",4.2.2,1.0
37.7749071,-122.4089439,0,2013-04-24 15:55:23,"Samsung d2att",4.2.2,1.0
37.774679,-122.4096927,0,2013-04-24 18:55:24,"Samsung d2att",4.2.2,1.0
37.7745238,-122.4086122,0,2013-04-24 19:05:23,"Samsung d2att",4.2.2,1.0
37.7756881,-122.4092551,0,2013-04-24 19:45:24,"Samsung d2att",4.2.2,1.0
37.7749454,-122.4089622,0,2013-04-24 19:55:23,"Samsung d2att",4.2.2,1.0
37.7444553,-122.3996047,0,2013-04-24 20:15:23,"Samsung d2att",4.2.2,1.0
37.5973969,-122.372427,0,2013-04-24 20:25:23,"Samsung d2att",4.2.2,1.0
37.5334287,-122.2773384,0,2013-04-24 20:35:23,"Samsung d2att",4.2.2,1.0
37.406879,-122.0580718,0,2013-04-24 20:45:23,"Samsung d2att",4.2.2,1.0
37.3734552,-121.9602013,0,2013-04-24 20:55:23,"Samsung d2att",4.2.2,1.0
37.3847789,-121.9735748,0,2013-04-24 23:05:24,"Samsung d2att",4.2.2,1.0
37.4474801,-122.1224533,0,2013-04-24 23:15:23,"Samsung d2att",4.2.2,1.0
37.4983466,-122.2375266,0,2013-04-24 23:25:23,"Samsung d2att",4.2.2,1.0
37.5418926,-122.2860196,0,2013-04-24 23:35:18,"Samsung d2att",4.2.2,1.0
37.6300868,-122.4087752,0,2013-04-24 23:45:22,"Samsung d2att",4.2.2,1.0
37.7526019,-122.3925183,0,2013-04-24 23:55:22,"Samsung d2att",4.2.2,1.0
37.7708562,-122.4061462,0,2013-04-25 00:05:19,"Samsung d2att",4.2.2,1.0
37.774953,-122.4089924,0,2013-04-25 00:15:22,"Samsung d2att",4.2.2,1.0
37.7740805,-122.4091137,0,2013-04-25 00:45:22,"Samsung d2att",4.2.2,1.0
37.7745174,-122.4086242,0,2013-04-25 00:55:21,"Samsung d2att",4.2.2,1.0
37.7745072,-122.4086569,0,2013-04-25 01:55:18,"Samsung d2att",4.2.2,1.0
37.7717643,-122.4090328,0,2013-04-25 02:05:21,"Samsung d2att",4.2.2,1.0
37.7696035,-122.4118994,0,2013-04-25 02:15:21,"Samsung d2att",4.2.2,1.0
37.7740945,-122.4091308,0,2013-04-25 02:25:21,"Samsung d2att",4.2.2,1.0
37.7744898,-122.4085962,0,2013-04-25 04:35:21,"Samsung d2att",4.2.2,1.0
37.774515,-122.4086153,0,2013-04-25 07:35:22,"Samsung d2att",4.2.2,1.0
37.77452,-122.4086129,0,2013-04-25 14:05:21,"Samsung d2att",4.2.2,1.0
37.7745044,-122.4086075,0,2013-04-25 15:01:50,"Samsung d2att",4.2.2,1.0
37.7745466,-122.4086141,0,2013-04-25 15:11:43,"Samsung d2att",4.2.2,1.0
37.7745273,-122.4085942,0,2013-04-25 15:21:43,"Samsung d2att",4.2.2,1.0
37.7763843,-122.4082758,0,2013-04-25 15:51:43,"Samsung d2att",4.2.2,1.0
37.7749283,-122.4088921,0,2013-04-25 16:01:43,"Samsung d2att",4.2.2,1.0
37.7740419,-122.4073462,0,2013-04-25 17:51:40,"Samsung d2att",4.2.2,1.0
37.7740419,-122.4073462,0,2013-04-25 18:11:40,"Samsung d2att",4.2.2,1.0
37.775003,-122.4089726,0,2013-04-25 18:21:43,"Samsung d2att",4.2.2,1.0
37.7749478,-122.4089361,0,2013-04-25 18:41:43,"Samsung d2att",4.2.2,1.0
37.776389,-122.4083177,0,2013-04-25 19:41:43,"Samsung d2att",4.2.2,1.0
37.7749892,-122.4089589,0,2013-04-25 20:11:41,"Samsung d2att",4.2.2,1.0
37.7720716,-122.4095721,0,2013-04-26 01:01:43,"Samsung d2att",4.2.2,1.0
37.769565,-122.4063992,0,2013-04-26 01:11:41,"Samsung d2att",4.2.2,1.0
37.7708831,-122.4078966,0,2013-04-26 01:31:39,"Samsung d2att",4.2.2,1.0
37.7739038,-122.4090283,0,2013-04-26 01:41:39,"Samsung d2att",4.2.2,1.0
37.7750644,-122.4100824,0,2013-04-26 02:51:38,"Samsung d2att",4.2.2,1.0
37.7928849,-122.3978186,0,2013-04-26 03:01:42,"Samsung d2att",4.2.2,1.0
37.7889775,-122.4035487,0,2013-04-26 03:11:41,"Samsung d2att",4.2.2,1.0
37.7984281,-122.4071644,0,2013-04-26 03:21:41,"Samsung d2att",4.2.2,1.0
37.7909304,-122.4041527,0,2013-04-26 05:22:46,"Samsung d2att",4.2.2,1.0
37.784567,-122.4009578,0,2013-04-26 05:32:43,"Samsung d2att",4.2.2,1.0
37.7795502,-122.4042576,0,2013-04-26 05:42:46,"Samsung d2att",4.2.2,1.0
37.7745263,-122.4093988,0,2013-04-26 05:52:46,"Samsung d2att",4.2.2,1.0
37.7749652,-122.4099374,0,2013-04-26 15:42:42,"Samsung d2att",4.2.2,1.0
37.7750696,-122.4099917,0,2013-04-26 15:52:42,"Samsung d2att",4.2.2,1.0
37.774915,-122.4089464,0,2013-04-26 16:02:45,"Samsung d2att",4.2.2,1.0
37.7775652,-122.406838,0,2013-04-26 19:12:45,"Samsung d2att",4.2.2,1.0
37.7764569,-122.4082165,0,2013-04-26 19:32:45,"Samsung d2att",4.2.2,1.0
37.7749396,-122.4089212,0,2013-04-26 19:42:42,"Samsung d2att",4.2.2,1.0
37.776458,-122.4082347,0,2013-04-26 21:12:45,"Samsung d2att",4.2.2,1.0
37.7749157,-122.4089493,0,2013-04-26 21:22:45,"Samsung d2att",4.2.2,1.0
37.7749138,-122.4089115,0,2013-04-26 23:32:45,"Samsung d2att",4.2.2,1.0
37.7749296,-122.4089217,0,2013-04-26 23:42:45,"Samsung d2att",4.2.2,1.0
37.7739298,-122.4115736,0,2013-04-27 00:32:44,"Samsung d2att",4.2.2,1.0
37.7785145,-122.4165498,0,2013-04-27 00:42:44,"Samsung d2att",4.2.2,1.0
37.7797842,-122.4236676,0,2013-04-27 00:52:41,"Samsung d2att",4.2.2,1.0
37.7760562,-122.4244219,0,2013-04-27 01:02:45,"Samsung d2att",4.2.2,1.0
37.7766335,-122.4242493,0,2013-04-27 02:12:39,"Samsung d2att",4.2.2,1.0
37.7764441,-122.4256962,0,2013-04-27 02:32:40,"Samsung d2att",4.2.2,1.0
37.7765195,-122.4258921,0,2013-04-27 02:42:37,"Samsung d2att",4.2.2,1.0
37.7763748,-122.4267994,0,2013-04-27 02:59:23,"Samsung d2att",4.2.2,1.0
